"기준_년분기_코드","행정동_코드","행정동_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20251","11110515","청운효자동","CS100001","한식음식점","79","79","3","2","1","1","0"
"20251","11110515","청운효자동","CS100002","중식음식점","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS100003","일식음식점","15","15","0","0","7","1","0"
"20251","11110515","청운효자동","CS100004","양식음식점","54","54","2","1","0","0","0"
"20251","11110515","청운효자동","CS100005","제과점","19","20","0","0","0","0","1"
"20251","11110515","청운효자동","CS100006","패스트푸드점","6","7","0","0","0","0","1"
"20251","11110515","청운효자동","CS100007","치킨전문점","2","3","0","0","0","0","1"
"20251","11110515","청운효자동","CS100008","분식전문점","25","26","4","1","0","0","1"
"20251","11110515","청운효자동","CS100009","호프-간이주점","21","21","0","0","0","0","0"
"20251","11110515","청운효자동","CS100010","커피-음료","114","115","2","2","4","4","1"
"20251","11110515","청운효자동","CS200001","일반교습학원","25","25","4","1","0","0","0"
"20251","11110515","청운효자동","CS200002","외국어학원","3","3","0","0","0","0","0"
"20251","11110515","청운효자동","CS200003","예술학원","12","13","0","0","0","0","1"
"20251","11110515","청운효자동","CS200005","스포츠 강습","17","17","0","0","0","0","0"
"20251","11110515","청운효자동","CS200006","일반의원","3","3","0","0","0","0","0"
"20251","11110515","청운효자동","CS200007","치과의원","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS200008","한의원","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS200009","동물병원","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS200010","변호사사무소","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS200013","기타법무서비스","3","3","0","0","0","0","0"
"20251","11110515","청운효자동","CS200016","당구장","1","1","0","0","0","0","0"
"20251","11110515","청운효자동","CS200017","골프연습장","1","1","0","0","0","0","0"
"20251","11110515","청운효자동","CS200022","복권방","1","1","0","0","0","0","0"
"20251","11110515","청운효자동","CS200024","스포츠클럽","2","2","0","0","0","0","0"
"20251","11110515","청운효자동","CS200025","자동차수리","1","1","0","0","100","1","0"
