LOCAL_RESD_CODE,GU_NM,ADM_NM,latitude,longitude,status,basis,coordinate_base_date
11110515,종로구,청운효자동,37.584414385936604,126.96991651604945,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110530,종로구,사직동,37.57388840525494,126.97037619175327,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110540,종로구,삼청동,37.58836398163187,126.9812055076862,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110550,종로구,부암동,37.596961510001385,126.96354444532562,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11110560,종로구,평창동,37.61568673941524,126.96812530181234,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11110570,종로구,무악동,37.57711070122112,126.9585859348616,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110580,종로구,교남동,37.57106506620217,126.96411811103566,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110600,종로구,가회동,37.5825143958977,126.98654713132102,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110615,종로구,종로1·2·3·4가동,37.57518528813232,126.98986485053656,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110630,종로구,종로5·6가동,37.57285780741533,127.00439894623658,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110640,종로구,이화동,37.5797204470763,127.00302254037204,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110650,종로구,혜화동,37.58747076483707,126.9974297101878,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110670,종로구,창신1동,37.572369443144154,127.01380357602436,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110680,종로구,창신2동,37.5760273446602,127.01018843883438,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11110690,종로구,창신3동,37.578954029897034,127.013222000896,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11110700,종로구,숭인1동,37.57718300178883,127.0168909772371,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11110710,종로구,숭인2동,37.57449032656732,127.02034256684597,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140520,중구,소공동,37.5642594920064,126.97437465855599,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140540,중구,회현동,37.556941148458634,126.97710183280657,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140550,중구,명동,37.56395209959056,126.9843038782104,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140570,중구,필동,37.55686556464431,126.993771149423,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140580,중구,장충동,37.55556242223276,127.00216590259741,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140590,중구,광희동,37.56515662458764,127.00376431261665,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140605,중구,을지로동,37.56662083276559,126.99656119705611,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140615,중구,신당동,37.56569210595639,127.01370442509956,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140625,중구,다산동,37.55493363005261,127.00835540729577,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11140635,중구,약수동,37.550149165040075,127.0102877563196,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140645,중구,청구동,37.55688154526405,127.01518810572776,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140650,중구,신당5동,37.563635437990044,127.02186697405534,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140665,중구,동화동,37.56071035196907,127.01865207211186,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140670,중구,황학동,37.568535403839746,127.02084551335274,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11140680,중구,중림동,37.55734687556799,126.96603675491988,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11170510,용산구,후암동,37.54990605100825,126.98061491206398,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11170520,용산구,용산2가동,37.53788420269669,126.9850862619161,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11170530,용산구,남영동,37.544030144342685,126.97482813759616,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
11170555,용산구,청파동,37.54758204055195,126.96684283192828,confirmed,Unique exact administrative-dong name in LOCAL boundary attributes and coordinate master; GU derived only from coordinate-master ADM_CD prefix mapping.,20250630
11170560,용산구,원효로1동,37.537495408252425,126.9665577401168,confirmed,Existing confirmed SGIS-to-LOCAL_RESD crosswalk and coordinate-master ADM_CD.,20250630
